0.25,5.949e-05
0.50,1.188e-04
0.75,1.782e-04
1.00,2.402e-04
1.25,2.960e-04
1.50,3.553e-04
1.75,4.127e-04
2.00,4.775e-04
2.25,5.365e-04
2.50,5.974e-04
2.75,6.579e-04
3.00,7.094e-04
3.25,7.748e-04
3.50,8.401e-04
3.75,8.870e-04
4.00,9.476e-04
4.25,9.989e-04
4.50,1.063e-03
4.75,1.122e-03
5.00,1.190e-03
5.25,1.253e-03
5.50,1.307e-03
5.75,1.360e-03
6.00,1.428e-03
6.25,1.489e-03
6.50,1.534e-03
6.75,1.613e-03
7.00,1.651e-03
7.25,1.713e-03
7.50,1.771e-03
7.75,1.831e-03
8.00,1.884e-03
8.25,1.946e-03
8.50,2.026e-03
8.75,2.075e-03
9.00,2.108e-03
9.25,2.193e-03
9.50,2.236e-03
9.75,2.331e-03
10.00,2.359e-03
10.25,2.417e-03
10.50,2.462e-03
10.75,2.558e-03
11.00,2.611e-03
11.25,2.657e-03
11.50,2.728e-03
11.75,2.767e-03
12.00,2.832e-03
12.25,2.890e-03
12.50,2.975e-03
12.75,2.979e-03
13.00,3.059e-03
13.25,3.117e-03
13.50,3.177e-03
13.75,3.243e-03
14.00,3.288e-03
14.25,3.321e-03
14.50,3.397e-03
14.75,3.450e-03
15.00,3.512e-03
